// Velcard Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

// IG_VelcardeAlbum
61,4488,1
61,4497,1
61,4486,1
61,4480,1
61,4485,1
61,4539,1
61,4487,1
61,4494,1
61,4538,1
61,4489,1
61,4482,1
61,4503,1
61,4490,1
61,4483,1
61,4491,1
61,4492,1
61,4498,1
61,4499,1
61,4500,1
61,4501,1
61,4502,1
61,4504,1
61,4481,1
61,4484,1
61,27209,1
61,27211,1
61,27212,1
61,27213,1
61,27214,1
61,27215,1
61,27216,1
61,27217,1
61,27218,1
61,27219,1
61,27220,1
61,27221,1
61,27222,1
61,27224,1
61,27225,1
61,4493,1
61,4495,1
61,4496,1
//61,4544,1
61,4541,1
//61,4540,1
//61,4542,1
//61,4543,1
61,4536,1
61,4537,1

// IG_VelcardeRecycle
62,105529,1
62,4635,2
//62,27324,2
//62,27325,2
//62,4629,2
62,4608,2
//62,27322,2
//62,27323,2
62,4243,2
//62,27184,2
//62,27361,2
62,27176,3
62,27177,3
62,4575,3
62,4577,3
62,4579,3
62,4581,3
62,4458,3
62,4459,3
62,27168,3
//62,27183,3
62,4689,10
62,4684,10
62,4688,10
62,4685,10
62,4686,10
62,4687,10
62,4696,10
62,4692,10
62,4693,10
62,4691,10
62,4694,10
62,4690,10
62,4695,10
//62,300211,20
//62,300218,20
//62,300216,20
//62,300222,20
//62,300102,20
//62,300119,20
//62,300101,20
//62,300273,20
//62,300272,20
//62,300278,20
//62,300279,20
62,27165,20
62,27166,20
62,27167,20
62,27173,20
62,27174,20
62,27175,20
62,27171,20
//62,300264,20
62,27178,20
//62,27181,20
//62,27264,20
//62,27328,20
//62,27026,20
//62,27028,20
//62,27029,20
62,4597,20
62,4598,20
62,4599,20
62,4600,20
62,4626,20
62,4627,20
//62,4698,20
//62,4699,20
//62,27012,20
//62,27013,20
62,27015,20
62,27016,20
62,27017,20
62,27018,20
62,27019,20
//62,27082,49
//62,27086,49
//62,27101,50
//62,27103,50
62,27110,50
//62,27289,50
//62,27286,50
62,27118,50
//62,27114,50
//62,27296,50
//62,27295,50
//62,27292,50
//62,300149,50
//62,300147,50
//62,300231,50
62,4016,150
62,4017,150
62,4019,150
62,4020,150
62,4021,150
62,4022,150
62,4023,150
62,4024,150
62,4025,150
62,4026,150
62,4027,150
62,4028,150
62,4029,150
62,4030,150
62,4031,150
62,4032,200
62,4033,200
62,4034,200
62,4035,200
62,4036,200
62,4037,200
62,4038,200
62,4039,200
62,4040,200
62,4041,200
62,4042,200
62,4043,200
62,4044,200
62,4046,200
62,4048,200
62,4049,200
62,4050,200
62,4051,200
62,4052,200
62,4053,200
62,4055,200
62,4056,200
62,4057,200
62,4059,200
62,4060,200
62,4061,200
62,4062,200
62,4063,200
62,4064,200
62,4065,200
